price,console,title,id
15.99,PlayStation 2,Eye Toy Kinetic with Camera,1937
3.99,PlayStation 2,Eye Toy Play 2 with Camera,1938
6.99,PlayStation 2,Eye Toy: Operation Spy,1939
11.99,PlayStation 2,Eye Toy: PLAY,1940
1.99,PlayStation 3,EyePet,1941
7.99,PlayStation 2,Eyetoy Antigrav,1942
49.99,PlayStation 2,Eyetoy Antigrav Video Game - Camera Required,1943
10.99,PlayStation 2,Eyetoy Antigrav with Camera,1944
33.99,PlayStation 3,F.E.A.R. 2: Project Origin,1945
24.99,PlayStation 3,F.E.A.R. 3,1946
9.99,Xbox 360,F.E.A.R. 3,1947
11.99,Xbox 360,F.E.A.R. Files,1948
40.99,PlayStation 3,F.E.A.R. First Encounter Assault Recon,1949
29.99,Xbox 360,F.E.A.R. First Encounter Assault Recon,1950
39.99,PlayStation 2,F1 2001,1951
29.99,PlayStation 2,F1 2002 Racing Video Game,1952
20.99,PlayStation 3,F1 2011,1953
38.99,Nintendo,F1 2011,1954
69.99,PlayStation Vita,F1 2011,1955
14.99,Xbox 360,F1 2012,1956
24.99,PlayStation 3,F1 2013,1957
89.99,Xbox 360,F1 2014 (Formula 1),1958
24.99,Xbox One,F1 2015 (Formula One),1959
69.99,PlayStation 4,F1 2015 (Formula One),1960
16.99,Xbox One,F1 2016,1961
19.99,PlayStation 4,F1 2016,1962
30.99,Xbox One,F1 2017,1963
31.99,PlayStation 4,F1 2017,1964
34.99,PlayStation 2,F1 Career Challenge,1965
29.99,PlayStation 2,F1 Championship Season 2000,1966
16.99,Xbox 360,F1 Race Stars,1967
20.99,PlayStation 3,F1 Race Stars,1968
38.99,PlayStation 3,F1 Race Stars,1969
87.99,PlayStation 2,F1 Racing Championship,1970
7.99,Xbox 360,f1: 2010,1971
25.99,PlayStation 3,F1: 2012,1972
34.99,PlayStation 3,F1: Formula One Championship Edition,1973
99.99,Xbox 360,Fable 2 Platinum Hits,1974
43.99,Xbox 360,Fable Anniversary ~First Production Version~,1975
39.99,Xbox 360,Fable II,1976
127.99,Xbox 360,Fable II: Limited Collectors Edition,1977
17.99,Xbox 360,Fable III,1978
14.99,Xbox 360,Fable III,1979
94.99,Xbox 360,Fable III Limited Collector's Edition,1980
5.99,Nintendo,Face Racers: Photo Finish,1981
18.99,PlayStation 3,FaceBreaker,1982
22.99,Xbox 360,FaceBreaker,1983
44.99,PlayStation 3,Fairy Fencer F,1984
67.99,PlayStation 4,Fairy Fencer F ADVENT DARK FORCE,1985
35.99,PlayStation 3,Fairy fencer F Standard Edition (with visual book),1986
70.99,PlayStation 4,Fairy Fencer F: Advent Dark Force,1987
34.99,PlayStation 3,Fairytale Fights,1988
35.99,Xbox 360,Fairytale Fights,1989
3.99,PlayStation 3,Falling Skies: The Game,1990
5.99,Xbox 360,Falling Skies: The Game,1991
31.99,PlayStation 3,Fallout 3,1992
49.99,Xbox 360,Fallout 3 & Oblivion Double Pack,1993
23.99,Xbox 360,Fallout 3 Add On Anchor/Pit Xb,1994
149.99,PlayStation 3,Fallout 3 Collector's Edition,1995
36.99,Xbox 360,Fallout 3 Game Add-On Pack: Broken Steel and Point Lookout,1996
15.99,Xbox 360,Fallout 3: Game of the Year Edition,1997
18.99,PlayStation 3,Fallout 3: Game of The Year Edition,1998
19.99,Xbox One,Fallout 4,1999
21.99,Xbox One,Fallout 4,2000
199.99,Xbox One,Fallout 4 - Pip-Boy Edition,2001
189.99,PlayStation 4,Fallout 4 - Pip-Boy Edition,2002
17.99,PlayStation 4,Fallout 4,2003
15.99,Xbox One,Fallout 4 (LATAM),2004
45.99,Xbox One,Fallout 4 Game of The Year Edition,2005
39.99,PlayStation 4,Fallout 4 Game of The Year Edition,2006
289.99,Xbox One,Fallout 4 Game of The Year Pip-Boy Edition,2007
